Date, Active, Recoveries, Deaths,
2020-03-16 00:00:00,    53.00000,     1.00000,     2.00000,
2020-03-17 00:00:00,    63.00000,     3.00000,     2.00000,
2020-03-18 00:00:00,    74.00000,     3.00000,     2.00000,
2020-03-19 00:00:00,    91.00000,     3.00000,     3.00000,
2020-03-20 00:00:00,   122.00000,     3.00000,     3.00000,
2020-03-21 00:00:00,   151.00000,     3.00000,     4.00000,
2020-03-22 00:00:00,   259.00000,     3.00000,     4.00000,
2020-03-23 00:00:00,   294.00000,     3.00000,     4.00000,
2020-03-24 00:00:00,   329.00000,    52.00000,     6.00000,
2020-03-25 00:00:00,   327.00000,    52.00000,     8.00000,
2020-03-26 00:00:00,   430.00000,    63.00000,     9.00000,
2020-03-27 00:00:00,   504.00000,    72.00000,    13.00000,
2020-03-28 00:00:00,   600.00000,    72.00000,    18.00000,
2020-03-29 00:00:00,   654.00000,    72.00000,    19.00000,
2020-03-30 00:00:00,   569.00000,   228.00000,    23.00000,
2020-03-31 00:00:00,   787.00000,   240.00000,    27.00000,
2020-04-01 00:00:00,   778.00000,   248.00000,    28.00000,
2020-04-02 00:00:00,   841.00000,   256.00000,    36.00000,
2020-04-03 00:00:00,   960.00000,   266.00000,    39.00000,
2020-04-04 00:00:00,  1129.00000,   279.00000,    43.00000,
2020-04-05 00:00:00,  1127.00000,   280.00000,    44.00000,
2020-04-06 00:00:00,  1181.00000,   325.00000,    48.00000,
2020-04-07 00:00:00,  1234.00000,   338.00000,    56.00000,
